	F01	F02	F03	F04	F05	F06
GO:0032786	0	0	0	1	0	0
GO:0032790	9	11	6	10	11	14
GO:0032791	0	2	0	1	0	0
GO:0032793	0	1	0	0	0	0
GO:0032794	0	0	0	1	0	0
GO:0032797	0	0	0	0	0	1
GO:0032802	0	0	0	1	0	0
GO:0032827	0	0	0	0	1	0
GO:0032835	0	0	0	0	0	1
GO:0032839	1	1	1	3	0	0
GO:0032843	0	0	0	1	0	0
GO:0032866	0	0	0	0	0	2
GO:0032868	1	1	1	2	0	1
GO:0032869	0	0	0	6	3	2
GO:0032870	1	0	0	0	0	1
GO:0032872	0	0	0	0	1	0
GO:0032874	0	0	1	0	1	0
GO:0032875	0	0	0	1	0	0
GO:0032880	2	3	3	17	12	13
GO:0032885	19	25	14	37	20	25
GO:0032889	2	2	3	8	5	4
GO:0032892	2	1	0	2	0	1
GO:0032897	0	1	0	8	2	0
GO:0032918	0	0	1	1	1	1
GO:0032919	0	0	1	1	1	0
GO:0032920	0	0	1	1	1	0
GO:0032922	0	4	0	4	3	0
GO:0032923	3	3	1	2	2	2
GO:0032934	1	0	0	1	1	5
GO:0032955	0	0	1	2	2	3
GO:0032956	1	1	1	2	0	0
GO:0032959	0	0	0	0	0	2
GO:0032963	0	0	2	1	0	0
GO:0032968	0	0	0	0	0	1
GO:0032977	11	9	9	23	29	33
GO:0032978	0	1	1	0	0	0
GO:0032979	0	0	1	2	0	0
GO:0032981	25	22	16	22	18	17
GO:0032984	0	0	0	0	1	1
GO:0032991	23	30	16	33	38	52
GO:0032993	78	110	95	189	175	198
GO:0033007	0	0	0	0	0	1
GO:0033014	1	2	2	2	1	0
GO:0033017	0	0	0	0	0	1
GO:0033022	0	3	2	1	2	2
GO:0033029	1	0	1	0	2	0
GO:0033044	4	4	5	1	0	0
GO:0033050	1	0	0	1	1	1
GO:0033051	0	0	0	2	1	1
GO:0033068	1	1	0	4	0	0
GO:0033072	2	4	1	5	4	5
GO:0033093	0	0	0	1	0	0
GO:0033094	0	0	1	4	1	2
GO:0033103	0	0	0	1	0	0
GO:0033104	0	1	0	2	1	1
GO:0033108	1	1	0	2	1	1
GO:0033113	6	2	1	5	8	17
GO:0033115	0	1	1	2	1	1
GO:0033116	2	0	1	1	1	2
GO:0033118	0	0	0	0	1	1
GO:0033120	1	1	1	1	1	1
GO:0033133	0	0	0	0	1	0
GO:0033137	1	1	1	1	0	0
GO:0033138	0	0	0	0	2	1
GO:0033147	0	0	0	0	0	1
GO:0033148	0	0	0	0	1	0
GO:0033157	0	0	0	1	0	0
GO:0033162	0	0	0	0	1	2
GO:0033164	5	5	4	8	3	5
GO:0033165	0	0	0	0	1	1
GO:0033176	0	0	0	1	2	2
GO:0033178	0	0	4	11	25	30
GO:0033179	2	2	5	12	35	54
GO:0033180	0	0	0	2	6	10
GO:0033182	0	0	0	0	1	0
GO:0033185	1	4	2	6	5	11
GO:0033189	0	4	1	4	2	2
GO:0033192	1	1	1	1	0	0
GO:0033194	2	2	2	1	2	0
GO:0033201	0	6	4	14	5	12
GO:0033202	6	8	9	8	7	13
GO:0033212	17	16	18	13	9	9
GO:0033214	6	8	4	5	12	11
GO:0033218	5	4	2	1	1	3
GO:0033219	0	0	1	0	0	0
GO:0033228	0	1	1	3	3	0
GO:0033229	2	4	0	2	2	1
GO:0033232	2	2	4	2	3	8
GO:0033234	0	0	0	0	1	0
GO:0033265	0	0	2	2	3	1
GO:0033270	0	0	0	0	0	1
GO:0033274	0	0	0	0	0	1
GO:0033281	34	31	29	46	55	74
GO:0033294	1	0	0	0	0	0
GO:0033296	0	1	1	2	1	2
GO:0033298	0	0	0	2	0	0
GO:0033306	1	1	2	3	3	5
GO:0033320	5	12	9	12	14	23
GO:0033326	1	0	0	2	0	0
GO:0033327	0	0	2	0	1	0
GO:0033345	2	2	2	3	1	0
GO:0033353	1	6	3	22	18	27
GO:0033356	0	0	0	0	0	1
GO:0033362	5	6	8	15	22	22
GO:0033365	0	0	0	1	1	0
GO:0033384	8	6	5	9	6	5
GO:0033386	5	2	3	13	7	10
GO:0033387	4	2	0	1	0	1
GO:0033388	15	14	7	14	12	10
GO:0033389	17	10	11	16	19	18
GO:0033390	0	0	0	0	0	1
GO:0033396	2	2	1	1	0	2
GO:0033468	10	12	5	15	10	11
GO:0033477	5	1	2	4	2	1
GO:0033481	0	0	0	0	0	1
GO:0033489	0	1	0	0	0	0
GO:0033490	0	1	0	0	0	0
GO:0033494	0	2	1	0	0	0
GO:0033499	3	4	5	12	14	15
GO:0033512	11	8	5	9	9	9
GO:0033514	2	2	1	1	1	0
GO:0033528	5	4	5	5	2	2
GO:0033531	1	0	0	2	0	0
GO:0033539	28	24	21	43	25	30
GO:0033540	2	3	3	1	3	11
GO:0033542	1	0	2	0	0	0
GO:0033543	0	0	0	2	0	0
GO:0033555	0	0	0	1	0	1
GO:0033558	0	0	0	2	2	1
GO:0033567	0	0	0	0	0	1
GO:0033573	1	0	1	6	9	13
GO:0033574	1	1	0	1	0	3
GO:0033577	0	1	1	2	0	2
GO:0033585	2	2	3	1	0	0
GO:0033588	1	0	0	2	2	7
GO:0033592	0	1	0	3	2	1
GO:0033595	0	0	0	0	0	1
GO:0033600	0	0	0	0	0	1
GO:0033608	7	9	7	6	15	22
GO:0033609	0	0	1	3	3	6
GO:0033611	14	14	11	16	30	32
GO:0033613	1	0	0	1	0	0
GO:0033615	0	0	0	0	1	0
GO:0033617	2	3	3	4	3	1
GO:0033621	0	0	0	0	1	0
GO:0033627	0	1	0	2	0	1
GO:0033644	3	4	3	8	8	4
GO:0033668	0	0	1	2	0	1
GO:0033673	0	0	0	0	1	0
GO:0033683	0	0	0	2	1	0
GO:0033692	0	0	1	0	1	1
GO:0033700	0	0	0	0	0	1
GO:0033705	3	1	4	8	7	10
GO:0033709	0	1	0	0	2	4
GO:0033711	1	0	1	0	2	2
GO:0033712	0	0	2	8	6	10
GO:0033713	1	0	0	0	0	0
GO:0033717	4	0	0	0	1	0
GO:0033721	7	1	3	7	2	2
GO:0033726	5	8	15	94	150	202
GO:0033727	0	0	1	1	1	0
GO:0033728	0	0	0	0	0	2
GO:0033730	0	0	1	2	0	1
GO:0033732	5	3	1	3	2	2
GO:0033734	1	1	0	0	0	0
GO:0033737	0	0	0	1	0	0
GO:0033739	5	5	9	9	11	10
GO:0033740	0	8	6	7	6	2
GO:0033741	0	1	0	0	0	0
GO:0033743	15	16	8	14	8	6
GO:0033744	7	11	7	14	7	9
GO:0033745	0	0	1	2	0	0
GO:0033748	0	2	3	2	14	17
GO:0033762	1	3	0	0	0	0
GO:0033764	1	2	2	4	5	11
GO:0033765	1	1	1	0	0	0
GO:0033776	0	1	0	0	0	0
GO:0033785	15	16	8	36	22	22
GO:0033786	16	18	8	36	22	22
GO:0033794	1	7	1	5	2	5
GO:0033795	1	5	1	6	2	5
GO:0033796	0	3	9	23	44	94
GO:0033797	6	5	3	9	5	4
GO:0033798	1	0	0	0	3	2
GO:0033812	3	9	6	5	3	0
GO:0033814	3	1	2	4	5	9
GO:0033817	19	33	20	53	64	69
GO:0033818	25	21	21	31	26	35
GO:0033819	18	17	16	32	34	44
GO:0033831	0	0	0	2	1	2
GO:0033833	1	0	0	0	0	0
GO:0033848	1	0	0	0	0	0
GO:0033853	1	3	2	5	7	10
GO:0033854	5	3	1	3	3	3
GO:0033856	8	13	5	17	15	12
GO:0033858	0	0	0	0	1	1
GO:0033859	1	0	0	0	0	0
GO:0033862	12	11	15	26	31	41
GO:0033863	0	0	0	0	1	1
GO:0033864	0	0	0	0	1	0
GO:0033877	4	7	1	12	23	35
GO:0033882	0	0	0	0	1	0
GO:0033883	0	1	0	0	1	2
GO:0033885	0	0	2	2	4	1
GO:0033890	10	10	7	11	3	3
GO:0033897	0	0	1	1	0	0
GO:0033905	0	1	1	4	3	0
GO:0033916	0	0	0	1	5	2
GO:0033926	0	0	0	1	0	0
GO:0033930	0	0	0	0	1	0
GO:0033938	2	2	1	0	0	2
GO:0033942	1	0	0	0	0	0
GO:0033945	3	1	0	3	1	0
GO:0033947	0	0	0	0	0	1
GO:0033950	2	0	0	0	0	1
GO:0033953	0	0	0	1	0	0
GO:0033958	12	12	4	5	5	2
GO:0033961	1	3	2	4	2	1
GO:0033966	32	12	6	11	14	15
GO:0033968	6	3	3	5	3	4
GO:0033969	6	8	4	2	2	2
GO:0033971	1	1	2	0	0	0
GO:0033972	1	0	0	1	1	1
GO:0033973	1	3	3	5	2	3
GO:0033975	1	2	1	1	1	0
GO:0033976	1	0	0	0	0	0
GO:0033978	1	1	1	1	1	4
GO:0033980	3	2	1	2	1	2
GO:0033982	0	0	0	0	1	0
GO:0033983	0	0	0	0	1	0
GO:0033988	1	1	0	0	0	4
GO:0033989	0	1	1	0	0	0
GO:0033990	1	1	0	0	0	0
GO:0033993	3	1	2	2	5	4
GO:0033999	0	0	0	0	0	1
GO:0034010	4	6	4	7	8	12
GO:0034011	8	3	4	6	7	13
GO:0034015	0	0	0	3	2	1
GO:0034017	5	3	6	3	1	1
GO:0034023	11	15	11	21	23	28
GO:0034024	7	7	4	0	0	0
GO:0034025	0	0	0	0	1	1
GO:0034026	0	0	0	1	0	0
GO:0034028	1	2	3	3	1	1
GO:0034029	0	0	1	1	3	6
GO:0034038	3	1	2	6	6	12
GO:0034039	7	7	7	5	2	4
GO:0034040	24	24	31	48	39	47
GO:0034045	0	0	0	3	0	1
GO:0034051	0	1	1	0	0	0
GO:0034052	0	0	0	0	0	2
GO:0034058	0	0	0	1	0	0
GO:0034059	0	0	0	0	1	0
GO:0034063	0	0	0	1	0	0
GO:0034069	0	0	0	1	0	0
GO:0034077	12	7	5	5	5	1
GO:0034078	0	1	0	2	1	0
GO:0034081	0	0	0	2	0	0
GO:0034085	0	0	0	2	0	1
GO:0034097	0	0	1	2	0	3
GO:0034098	0	0	0	2	0	0
GO:0034110	1	0	0	0	0	0
GO:0034116	1	0	0	0	0	0
GO:0034136	1	0	1	1	6	3
GO:0034144	1	0	1	1	6	3
GO:0034157	0	0	0	1	0	0
GO:0034165	0	0	0	1	0	0
GO:0034184	0	0	0	0	1	1
GO:0034185	0	0	0	2	0	0
GO:0034189	0	0	0	1	0	0
GO:0034194	6	2	3	12	8	8
GO:0034198	2	1	0	0	0	0
GO:0034199	0	0	0	1	2	1
GO:0034200	6	7	5	13	14	14
GO:0034204	6	7	4	12	11	9
GO:0034213	4	4	6	5	6	14
GO:0034214	0	0	0	1	1	3
GO:0034219	0	0	2	3	2	2
GO:0034220	1	3	2	4	1	4
GO:0034221	2	1	0	0	0	0
GO:0034224	0	0	0	1	0	0
GO:0034227	8	7	6	11	13	14
GO:0034232	8	2	4	0	1	1
GO:0034235	2	2	2	7	6	5
GO:0034236	0	0	0	4	2	3
GO:0034237	0	0	0	3	3	2
GO:0034244	0	0	0	1	0	0
GO:0034251	5	5	2	1	1	2
GO:0034256	3	0	0	0	1	1
GO:0034257	1	0	1	1	0	0
GO:0034258	0	0	1	0	0	0
GO:0034260	3	3	1	1	3	2
GO:0034276	0	0	0	0	1	0
GO:0034319	1	0	0	0	0	0
GO:0034335	1	1	1	1	3	4
GO:0034336	0	0	1	1	1	1
GO:0034338	7	3	3	3	7	3
GO:0034349	0	0	0	0	0	1
GO:0034354	7	11	8	7	6	5
GO:0034355	1	0	0	4	3	1
GO:0034356	2	2	3	4	4	0
GO:0034362	1	1	2	1	0	0
GO:0034364	1	1	2	3	1	0
GO:0034374	1	0	1	0	0	0
GO:0034386	0	2	1	7	7	10
GO:0034387	3	3	1	1	0	0
GO:0034392	0	0	0	1	0	0
GO:0034399	0	0	1	1	1	0
GO:0034405	0	0	0	1	1	2
GO:0034414	1	1	1	0	2	2
GO:0034418	2	0	1	0	1	0
GO:0034419	0	0	2	0	0	0
GO:0034427	0	2	0	1	0	0
GO:0034440	1	0	1	0	0	0
GO:0034441	1	0	1	0	0	0
GO:0034446	0	1	0	0	0	1
GO:0034450	0	0	0	0	0	1
GO:0034451	4	0	0	2	4	1
GO:0034452	3	0	0	1	2	0
GO:0034454	3	0	0	1	2	0
GO:0034458	2	0	1	0	1	1
GO:0034462	0	0	1	0	0	0
GO:0034464	3	0	0	1	2	0
GO:0034465	0	1	0	0	0	0
GO:0034470	2	0	1	0	0	0
GO:0034473	1	0	0	1	0	0
GO:0034475	3	0	0	1	2	3
GO:0034476	1	0	0	1	0	1
GO:0034484	1	0	0	2	0	0
GO:0034498	0	0	0	1	0	0
GO:0034508	4	4	5	1	0	0
GO:0034515	0	0	0	1	0	0
GO:0034517	0	0	0	1	0	0
GO:0034545	6	0	1	1	1	2
GO:0034551	2	1	1	2	0	0
GO:0034553	0	1	2	0	0	0
GO:0034567	1	0	1	2	1	1
GO:0034587	0	1	0	0	0	0
GO:0034599	49	33	29	31	29	26
GO:0034604	0	0	0	1	2	4
GO:0034605	43	40	26	57	49	57
GO:0034613	0	0	0	1	0	1
GO:0034614	0	1	1	0	1	0
GO:0034616	0	0	0	0	1	0
GO:0034618	7	2	3	11	10	7
GO:0034620	1	2	1	3	2	4
GO:0034622	0	0	0	0	2	1
GO:0034628	7	7	6	7	10	15
GO:0034635	0	0	1	0	0	0
GO:0034638	3	1	3	1	0	1
GO:0034644	2	3	0	0	0	2
GO:0034685	0	0	0	2	0	0
GO:0034686	0	0	0	2	0	0
GO:0034699	1	0	0	1	1	3
GO:0034700	0	0	0	0	2	1
GO:0034701	0	0	1	1	0	0
GO:0034703	0	0	0	0	1	2
GO:0034704	0	0	0	0	1	3
GO:0034705	0	0	0	0	2	1
GO:0034707	2	9	6	10	9	5
GO:0034708	1	0	0	0	0	0
GO:0034719	0	0	0	0	0	2
GO:0034720	1	1	0	0	0	0
GO:0034722	12	7	6	9	6	7
GO:0034727	0	0	0	1	0	0
GO:0034728	0	0	0	0	1	0
GO:0034755	1	0	0	1	2	1
GO:0034763	0	0	0	1	0	0
GO:0034765	6	12	5	16	16	12
GO:0034774	0	1	3	1	1	2
GO:0034775	1	0	2	0	2	0
GO:0034784	7	13	14	17	25	34
GO:0034785	0	1	0	0	0	0
GO:0034832	0	0	2	0	0	0
GO:0034856	1	0	0	0	2	0
GO:0034909	14	16	9	8	10	8
GO:0034959	0	0	0	1	0	0
GO:0034967	0	0	1	0	1	0
GO:0034970	0	0	1	1	2	1
GO:0034976	1	5	4	8	3	8
GO:0034979	15	8	8	20	25	27
GO:0034982	1	1	2	4	4	3
GO:0034983	0	0	0	1	1	1
GO:0035000	0	0	0	1	0	2
GO:0035002	1	1	0	1	0	0
GO:0035011	1	0	0	0	0	2
GO:0035035	0	1	0	0	2	1
GO:0035049	0	0	0	1	1	0
GO:0035061	0	0	0	0	0	1
GO:0035064	2	1	0	0	0	0
GO:0035065	0	0	0	1	1	0
GO:0035066	1	0	1	0	0	1
GO:0035079	0	1	0	0	0	0
GO:0035080	0	1	0	0	0	0
GO:0035091	5	2	3	3	2	0
GO:0035094	1	0	1	0	2	0
GO:0035097	0	0	0	1	2	0
GO:0035099	0	1	0	0	0	1
GO:0035103	0	0	0	0	1	0
GO:0035147	0	0	0	1	0	1
GO:0035149	1	1	0	1	0	0
GO:0035160	0	1	0	0	0	1
GO:0035162	4	4	0	3	4	0
GO:0035167	0	0	0	2	1	1
GO:0035174	0	0	0	0	1	0
GO:0035176	3	1	0	0	1	0
GO:0035193	0	0	0	0	1	1
GO:0035194	0	0	0	0	0	1
GO:0035196	0	0	0	0	1	2
GO:0035198	1	0	0	0	1	3
GO:0035204	0	0	0	1	1	1
GO:0035206	0	0	0	0	0	1
GO:0035207	0	0	0	1	1	1
GO:0035234	0	0	0	0	0	1
GO:0035241	0	0	1	2	2	1
GO:0035242	0	0	1	3	2	1
GO:0035243	8	5	1	6	3	2
GO:0035246	0	0	1	1	2	1
GO:0035249	1	0	1	0	0	0
GO:0035250	0	0	0	1	1	1
GO:0035251	0	0	0	1	1	0
GO:0035255	0	1	1	1	0	0
GO:0035261	0	0	0	1	0	0
GO:0035262	1	1	1	2	0	1
GO:0035264	1	0	1	4	2	0
GO:0035267	0	0	0	0	0	1
GO:0035268	1	3	2	4	5	6
GO:0035269	8	8	3	22	15	24
GO:0035272	0	0	0	0	1	0
GO:0035312	2	6	8	24	32	61
GO:0035327	0	0	0	1	0	0
GO:0035329	0	0	0	0	1	0
GO:0035331	0	1	0	1	0	0
GO:0035335	1	0	1	0	0	1
GO:0035336	2	2	1	2	0	0
GO:0035338	0	0	1	0	0	2
GO:0035363	0	1	0	0	0	0
GO:0035377	1	1	2	1	0	0
GO:0035410	1	0	0	0	0	1
GO:0035425	0	0	0	0	2	1
GO:0035429	0	0	0	2	0	0
GO:0035435	13	14	7	19	17	26
GO:0035438	2	1	3	5	8	2
GO:0035442	0	1	0	1	0	1
GO:0035445	2	0	0	0	0	0
GO:0035447	0	2	1	8	9	21
GO:0035448	1	0	0	0	0	0
GO:0035457	0	0	0	1	0	0
GO:0035458	1	0	1	2	6	3
GO:0035460	0	0	0	1	0	0
GO:0035485	6	6	6	3	2	1
GO:0035499	1	2	0	0	0	0
GO:0035509	0	0	1	0	0	0
GO:0035511	0	0	0	0	1	2
GO:0035524	11	10	6	25	16	14
GO:0035527	1	1	0	1	0	1
GO:0035529	20	17	13	24	32	31
GO:0035539	6	3	5	9	6	3
GO:0035550	0	0	0	0	0	1
GO:0035551	0	0	0	1	0	0
GO:0035552	0	0	0	2	1	1
GO:0035553	0	0	0	2	1	1
GO:0035556	117	114	48	58	67	44
GO:0035562	1	0	0	0	0	0
GO:0035578	2	3	0	5	13	9
GO:0035579	0	0	0	2	4	1
GO:0035580	4	2	1	0	0	0
GO:0035593	1	0	0	0	0	2
GO:0035595	0	1	2	4	5	8
GO:0035596	11	18	9	26	20	29
GO:0035597	0	0	0	2	0	1
GO:0035598	2	6	4	17	21	29
GO:0035599	0	2	0	5	6	3
GO:0035600	1	6	4	17	15	22
GO:0035601	0	0	0	1	0	0
GO:0035608	0	0	1	1	0	0
GO:0035609	0	0	1	1	0	0
GO:0035610	0	0	1	1	0	0
GO:0035621	0	0	0	0	0	2
GO:0035632	0	2	1	2	1	4
GO:0035633	1	2	0	1	2	1
GO:0035634	0	0	0	1	0	0
GO:0035640	0	0	0	1	1	0
GO:0035641	0	0	0	0	0	1
GO:0035657	0	1	1	0	1	3
GO:0035671	1	0	0	0	0	1
GO:0035672	10	7	3	2	6	5
GO:0035673	6	2	2	1	3	3
GO:0035690	3	3	3	12	8	6
GO:0035694	1	0	1	1	1	1
GO:0035701	0	0	0	1	0	0
GO:0035710	0	0	0	2	0	0
GO:0035721	0	1	0	1	0	0
GO:0035722	1	1	0	0	0	0
GO:0035725	3	4	6	6	9	11
GO:0035731	3	9	7	6	0	0
GO:0035751	0	1	1	1	1	0
GO:0035754	0	0	0	1	0	0
GO:0035755	0	1	0	0	0	0
GO:0035767	0	0	0	1	1	0
GO:0035774	0	0	0	3	1	0
GO:0035784	0	0	0	0	0	2
GO:0035798	0	0	0	0	0	1
GO:0035814	0	0	0	0	1	0
GO:0035825	0	0	0	1	0	0
GO:0035834	0	1	0	0	0	0
GO:0035835	1	0	0	0	0	0
GO:0035837	0	0	0	1	0	0
GO:0035845	3	0	0	0	1	0
GO:0035861	2	1	0	8	1	4
GO:0035864	1	4	1	3	3	1
GO:0035869	0	0	0	1	1	0
GO:0035870	12	10	9	19	24	31
GO:0035888	1	1	2	2	4	2
GO:0035900	2	0	0	0	0	1
GO:0035904	1	1	1	1	0	0
GO:0035925	1	0	0	0	0	0
GO:0035963	0	0	0	0	0	1
GO:0035965	1	0	0	0	2	2
GO:0035967	0	0	0	0	1	1
GO:0035970	2	1	1	1	0	2
GO:0035971	0	1	1	0	1	1
GO:0035973	0	0	1	0	1	0
GO:0035974	0	0	0	0	0	1
GO:0035975	0	2	0	2	3	2
GO:0035984	0	0	1	1	0	0
GO:0035988	0	0	0	0	0	1
GO:0035995	0	0	0	1	0	0
GO:0035998	10	16	10	20	24	37
GO:0035999	79	81	66	154	144	177
GO:0036004	1	1	1	1	0	0
GO:0036006	2	2	2	3	1	2
GO:0036009	12	16	12	17	20	36
GO:0036041	2	1	2	2	2	1
GO:0036042	3	4	3	4	4	7
GO:0036047	4	4	4	7	11	6
GO:0036049	4	4	4	7	11	6
GO:0036054	9	4	6	16	18	18
GO:0036055	9	4	6	16	18	18
GO:0036064	3	0	1	4	2	1
GO:0036065	0	0	0	0	1	1
GO:0036070	4	12	6	15	15	12
GO:0036088	2	0	1	0	0	1
GO:0036101	0	0	1	0	0	0
GO:0036104	18	19	12	20	12	8
GO:0036108	3	3	2	5	5	6
GO:0036109	0	1	1	0	0	1
GO:0036111	0	1	1	0	0	0
GO:0036112	0	1	1	0	0	0
GO:0036114	0	0	0	1	1	1
GO:0036116	0	0	0	1	1	1
GO:0036121	0	0	1	1	0	3
GO:0036125	0	0	0	3	3	3
GO:0036126	0	0	0	1	0	0
GO:0036130	0	0	0	2	0	0
GO:0036134	0	0	1	0	0	0
GO:0036148	0	0	1	1	2	0
GO:0036155	0	0	1	0	1	0
GO:0036168	0	1	0	0	0	0
GO:0036170	2	1	1	8	3	4
GO:0036180	2	2	1	8	3	5
GO:0036184	0	1	0	0	0	0
GO:0036199	5	2	1	0	0	0
GO:0036200	2	2	1	3	0	0
GO:0036214	0	0	0	2	3	4
GO:0036218	16	17	10	24	32	30
GO:0036219	0	0	1	1	3	1
GO:0036220	12	10	9	19	24	31
GO:0036221	10	11	6	13	17	17
GO:0036222	12	10	9	19	24	31
GO:0036238	1	0	0	0	0	0
GO:0036243	7	6	9	9	4	2
GO:0036246	0	0	0	0	0	1
GO:0036249	0	0	0	0	0	1
GO:0036258	0	0	0	0	1	0
GO:0036265	0	0	2	4	1	3
GO:0036266	0	0	0	1	0	0
GO:0036269	0	0	1	0	0	0
GO:0036278	1	0	0	2	2	1
GO:0036289	3	5	1	3	1	0
GO:0036292	1	3	2	2	1	1
GO:0036293	4	3	1	1	2	2
GO:0036294	3	1	1	0	0	0
GO:0036297	0	0	0	3	1	3
GO:0036298	1	1	3	0	0	0
GO:0036303	0	0	0	0	1	2
GO:0036310	1	5	3	10	4	1
GO:0036334	0	0	0	1	0	0
GO:0036343	0	1	1	0	0	0
GO:0036348	2	5	5	5	19	28
GO:0036355	0	0	0	1	2	1
GO:0036356	0	0	0	1	1	2
GO:0036361	6	6	5	5	22	33
GO:0036370	0	0	0	1	0	0
GO:0036373	1	1	1	1	1	1
GO:0036374	38	28	23	32	23	20
GO:0036376	15	8	4	6	15	12
GO:0036377	1	0	1	0	1	0
GO:0036380	1	5	3	12	10	19
GO:0036381	6	3	10	20	28	42
GO:0036382	3	3	3	2	2	0
GO:0036383	1	0	0	0	0	0
GO:0036397	0	0	1	4	5	8
GO:0036402	0	1	0	4	2	3
GO:0036405	8	6	8	4	2	2
GO:0036412	4	8	6	1	3	4
GO:0036414	0	0	0	0	0	1
GO:0036422	0	0	1	2	10	11
GO:0036424	12	14	10	48	45	69
GO:0036425	12	14	10	48	45	69
GO:0036427	2	3	3	6	6	10
GO:0036428	1	1	2	8	13	18
GO:0036429	1	1	2	8	13	18
GO:0036430	13	10	15	24	30	34
GO:0036431	13	10	15	24	30	34
GO:0036433	0	1	0	0	3	2
GO:0036440	6	4	3	11	5	10
GO:0036455	1	0	0	0	0	0
GO:0036456	6	6	1	2	3	2
GO:0036460	31	39	25	73	55	73
GO:0036464	1	0	0	0	3	2
GO:0036467	0	0	1	0	0	0
GO:0036468	2	1	1	0	0	1
GO:0036469	6	6	9	12	8	8
GO:0036470	0	0	0	0	1	0
GO:0036471	1	0	0	0	1	0
GO:0036475	1	2	0	1	2	1
GO:0036477	0	1	0	0	0	0
GO:0036478	0	0	0	0	1	0
GO:0036498	0	1	0	1	0	0
GO:0036500	0	0	0	0	1	0
GO:0036503	0	0	0	1	0	0
GO:0036506	4	1	2	3	2	3
GO:0036524	1	0	0	2	3	5
GO:0036525	0	0	0	0	1	0
GO:0036526	0	0	0	0	1	0
GO:0036527	0	0	0	0	1	0
GO:0036528	0	0	0	0	1	0
GO:0036529	1	0	0	2	2	5
GO:0036530	0	0	0	0	1	0
GO:0036531	0	0	0	0	1	0
GO:0038001	0	0	0	0	2	1
GO:0038023	7	8	11	2	0	3
GO:0038060	0	1	1	0	0	0
GO:0038108	3	0	0	1	2	0
GO:0038183	0	0	0	0	1	1
GO:0038199	2	2	2	2	0	1
GO:0039019	0	0	0	0	1	2
GO:0039020	0	1	0	0	0	0
GO:0039502	2	1	1	2	3	1
GO:0039520	0	0	0	0	0	1
GO:0039529	0	0	0	0	0	1
GO:0039548	1	0	1	0	1	1
GO:0039563	2	1	1	2	3	1
GO:0039579	2	1	1	2	3	1
GO:0039604	0	0	2	0	0	1
GO:0039615	1	2	2	0	1	2
GO:0039620	0	1	6	11	3	2
GO:0039621	0	0	0	2	0	0
GO:0039641	1	2	0	0	0	1
GO:0039644	2	1	1	2	3	1
GO:0039648	2	1	1	2	3	1
GO:0039657	2	0	2	4	2	0
GO:0039684	0	0	0	1	0	1
GO:0039686	0	0	0	2	2	0
GO:0039693	1	2	6	14	4	3
GO:0039694	2	1	1	3	3	1
GO:0039695	0	0	1	2	0	0
GO:0039707	1	1	1	0	0	0
GO:0040008	3	4	0	3	3	4
GO:0040009	1	1	0	1	0	0
GO:0040011	0	1	1	1	1	1
GO:0040012	0	0	1	0	0	0
GO:0040017	1	0	0	1	0	0
GO:0040018	4	1	1	1	2	1
GO:0040020	0	0	0	1	0	0
GO:0040022	0	0	0	0	0	1
GO:0040025	1	0	0	1	0	0
GO:0040026	0	0	0	1	0	0
GO:0040028	0	0	0	1	0	0
GO:0040029	0	0	0	0	2	2
GO:0040034	0	0	0	0	0	1
GO:0040040	0	0	0	1	0	0
GO:0042025	12	10	9	12	12	14
GO:0042026	26	33	25	51	50	62
GO:0042048	0	1	0	0	1	0
GO:0042051	1	0	0	0	0	0
GO:0042054	0	0	1	2	2	1
GO:0042059	0	0	0	2	0	0
GO:0042069	0	0	0	1	0	0
GO:0042073	0	0	0	1	0	0
GO:0042098	0	0	0	0	1	0
GO:0042101	0	0	0	1	0	0
GO:0042113	0	0	0	2	0	3
GO:0042121	36	43	27	59	37	50
GO:0042126	4	4	3	7	1	0
GO:0042127	5	1	3	0	3	0
GO:0042128	45	63	49	72	37	37
GO:0042132	18	20	11	31	26	42
GO:0042134	1	0	1	1	0	0
GO:0042135	1	1	1	0	1	2
GO:0042136	1	0	0	0	0	0
GO:0042137	1	0	0	0	0	0
GO:0042138	0	0	1	1	0	1
GO:0042147	1	1	0	0	0	1
GO:0042148	0	0	1	2	0	0
GO:0042149	0	0	0	2	1	0
GO:0042158	22	28	24	44	52	58
GO:0042165	0	1	1	0	0	0
GO:0042167	1	1	1	2	3	1
GO:0042168	4	2	1	0	1	1
GO:0042169	0	0	0	1	0	0
GO:0042171	0	0	0	0	1	0
GO:0042173	0	0	0	0	1	1
GO:0042174	4	10	9	24	30	23
GO:0042175	2	1	0	2	2	0
GO:0042176	0	0	0	0	1	1
GO:0042178	16	10	5	3	0	1
GO:0042180	0	0	0	0	3	1
GO:0042182	0	0	0	1	1	3
GO:0042183	2	0	1	3	1	0
GO:0042203	8	10	2	13	23	37
GO:0042206	4	6	5	4	2	1
GO:0042207	1	1	1	0	1	0
GO:0042208	2	0	1	2	2	0
GO:0042216	2	2	0	0	0	0
GO:0042219	3	5	4	8	2	1
GO:0042242	4	1	4	10	12	9
GO:0042245	8	7	3	19	10	12
GO:0042246	0	1	6	13	12	9
GO:0042254	41	51	44	77	95	134
GO:0042255	9	6	6	15	14	17
GO:0042256	11	13	11	28	28	38
GO:0042262	4	3	3	6	7	6
GO:0042273	0	0	0	0	3	5
