	F01	F02	F03	F04	F05	F06
GO:0003860	0	0	1	1	2	1
GO:0003861	44	44	30	63	82	109
GO:0003862	18	17	9	36	51	51
GO:0003863	8	15	18	22	14	8
GO:0003864	14	9	10	24	25	37
GO:0003865	1	0	0	0	2	4
GO:0003866	17	8	11	20	30	33
GO:0003867	12	11	10	15	12	16
GO:0003868	5	4	3	3	0	0
GO:0003870	1	2	0	0	0	1
GO:0003871	22	24	12	20	10	7
GO:0003872	10	13	15	28	35	61
GO:0003873	0	0	0	0	0	1
GO:0003874	3	2	2	8	4	2
GO:0003875	0	0	0	0	2	0
GO:0003877	4	5	5	12	18	23
GO:0003878	1	0	0	6	2	10
GO:0003879	10	10	10	14	19	19
GO:0003881	0	0	0	1	0	0
GO:0003882	13	14	7	11	9	8
GO:0003883	11	12	9	21	29	36
GO:0003884	0	2	1	0	0	0
GO:0003885	3	1	2	2	1	2
GO:0003886	0	4	6	9	6	5
GO:0003887	116	131	122	249	220	275
GO:0003896	13	10	13	40	38	49
GO:0003899	57	72	68	134	144	203
GO:0003905	7	10	8	14	12	14
GO:0003906	9	10	13	22	27	40
GO:0003908	16	15	15	23	30	35
GO:0003909	3	2	0	4	1	0
GO:0003910	9	12	17	23	23	25
GO:0003911	5	12	10	24	21	26
GO:0003913	2	1	0	7	6	8
GO:0003916	3	1	3	10	1	1
GO:0003917	14	14	11	30	32	31
GO:0003918	39	35	34	69	72	80
GO:0003919	14	17	13	19	26	35
GO:0003920	0	0	0	2	0	0
GO:0003921	2	2	1	0	1	4
GO:0003922	15	16	14	32	39	40
GO:0003924	184	200	189	399	427	581
GO:0003925	0	0	0	0	0	2
GO:0003933	0	0	0	1	0	0
GO:0003934	10	16	10	20	24	37
GO:0003935	16	20	11	18	22	25
GO:0003937	10	15	11	20	27	33
GO:0003938	17	13	10	23	21	21
GO:0003939	6	6	9	31	41	67
GO:0003941	19	15	14	31	24	35
GO:0003942	16	15	10	19	19	29
GO:0003943	1	0	0	1	0	0
GO:0003948	1	0	3	2	3	6
GO:0003949	11	18	11	15	22	22
GO:0003950	4	1	3	5	1	1
GO:0003951	16	20	27	51	68	82
GO:0003952	13	14	12	28	29	34
